5	TGD Number	City	State	Tweet URL	Video/Image Filename	Description
127	114	Chicago	IL	https://twitter.com/greg_doucette/status/1267594960955748352	ChicagoIL-AKHA27j2ORQTIBiW.mp4	nearly a dozen police officers team up to destroy a car and pull at least one of the occupants out by their head Original poster indicates police stole the car soon thereafter, leaving the driver and another passenger in the lot
128	115	Denver	CO	https://twitter.com/greg_doucette/status/1267596048513540103	Denver-PNcieX5nirAQ-y2B.mp4	"casual conversation between a protestor and riot cop; : ""Can I ask you what's going to happen at 8? Sir?""; : ""What's gonna happen is we're gonna start beating the fuck out of you."""
129	116	Philadelphia	PA	https://twitter.com/greg_doucette/status/1267597140819415040	Philadelphia-OW-RGS8Z1zL6tMlM.mp4	four cops brutalize and arrest a man Notice how one cop deliberately put the man's hand on the baton / stick / whatever, just so he could then beat the guy for touching it
130	117	Denver	CO	https://twitter.com/greg_doucette/status/1267597416938733576	, https://twitter.com/DenverPolice/status/1267571824054775808, https://www.coloradopolitics.com/denver/denver-police-department-investigating-social-media-post-from-officer-allegedly-promoting-riots/article_f40b47c2-a433-11ea-a43d-3f145b7b5cf8.html, DenverInstagram.png	DPD no video for this one. DPD conducting an investigation after one of its officers posts an admission on Instagram that police are deliberating instigating riots
131	118	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267598308392009735	LosAngeles-L2TjmSd75k_aWCCI.mp4	"LAPD scanner chatter: ""$100 for a n*gger! $50 for a Mexican! Kill 'em all! ... We gotta start shooting to kill, man. Mr. Trump said so."""
132	119	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267600596523266049	LosAngeles-8_UA9MMz6edVPAAJ.mp4	LAPD beat the sh*t out of well-known actor Kendrick Sampson (@kendrick38) Then once they're done beating him, the baton cops back away so another cop can shoot him at close range
133	119a	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267601265732788224	LosAngeles-y0E97u8g-1ZuaRPz	Another angle of #119 above Notice the situation is peaceful – until LAPD decides it's time to get violent
134	120	Washington	DC	https://twitter.com/greg_doucette/status/1267602175997468672	WashingtonDC-qZxoIGtekWCq9y2X.mp4	one cop repeatedly beats the sh*t out of a cameraman with his riot shield, as another beats the reporter next to him with a baton while they flee
135	120a	Washington	DC	https://twitter.com/greg_doucette/status/1267625961115222016	WashingtonDC-KLW2a75Q4P5e2yd8.mp4	First-person view of 120 First-person view of 120 above. The DC cop punches the camera man first, before hitting him with his shield
136	121	Altanta	GA	https://twitter.com/greg_doucette/status/1267602766412820480	Atlanta-0LjVndwRh0BI_QlK.mp4	police beat the sh*t out of one person, then a male officer breaks away to beat, tackle, and mount the unarmed woman behind him
137	122	Richmond	VA	https://twitter.com/greg_doucette/status/1267603264901648386	Richmond-bQbAfT1nenVDqaTZ.mp4	police start using tear gas at peaceful protest near Monument Avenue
138	123	Los Angeles	CA	https://twitter.com/greg_doucette/status/1267603917480906753	LosAngeles-PQJZYBnxHPV8K1_c.mp4	LAPD officers beat the sh*t out of several unarmed peaceful protestors for sport, while other cops in the pack shoot them at close range
